epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.3803,1.68217,0.65179,0.99107,1.33826,0.000327381,0.000327381,0.000327381
2,69.5378,1.10406,0.80357,0.99107,0.70568,0.000649812,0.000649812,0.000649812
3,104.445,0.6675,0.83929,0.98214,0.50275,0.000961244,0.000961244,0.000961244
4,139.274,0.41799,0.85714,0.98214,0.4095,0.0009505,0.0009505,0.0009505
5,173.97,0.43841,0.83929,0.98214,0.42338,0.000934,0.000934,0.000934
6,208.814,0.28385,0.82143,0.97321,0.54906,0.0009175,0.0009175,0.0009175
7,243.559,0.23834,0.78571,0.96429,0.62754,0.000901,0.000901,0.000901
8,278.537,0.19861,0.8125,0.97321,0.63243,0.0008845,0.0008845,0.0008845
9,313.814,0.22095,0.83929,0.96429,0.6977,0.000868,0.000868,0.000868
10,349.982,0.16819,0.83036,0.96429,0.48983,0.0008515,0.0008515,0.0008515
11,385.571,0.19211,0.79464,0.97321,0.60115,0.000835,0.000835,0.000835
12,420.544,0.19424,0.78571,0.98214,0.62062,0.0008185,0.0008185,0.0008185
13,456.614,0.13494,0.79464,0.98214,0.64455,0.000802,0.000802,0.000802
14,491.375,0.18371,0.78571,0.98214,0.72835,0.0007855,0.0007855,0.0007855
15,526.957,0.10132,0.8125,0.97321,0.76118,0.000769,0.000769,0.000769
16,562.984,0.14514,0.77679,0.98214,0.83546,0.0007525,0.0007525,0.0007525
17,597.73,0.12831,0.78571,0.99107,0.80406,0.000736,0.000736,0.000736
18,631.991,0.10598,0.78571,0.97321,0.87692,0.0007195,0.0007195,0.0007195
19,666.928,0.14074,0.79464,0.97321,0.8552,0.000703,0.000703,0.000703
20,701.949,0.08185,0.78571,0.97321,0.84838,0.0006865,0.0006865,0.0006865
21,739.257,0.10886,0.83036,0.99107,0.86425,0.00067,0.00067,0.00067
22,775.641,0.11566,0.84821,0.99107,1.02467,0.0006535,0.0006535,0.0006535
23,811.041,0.12814,0.78571,0.98214,1.02564,0.000637,0.000637,0.000637
24,845.897,0.08071,0.82143,0.99107,0.95647,0.0006205,0.0006205,0.0006205
25,881.101,0.07853,0.85714,0.99107,0.96563,0.000604,0.000604,0.000604
26,917.809,0.06401,0.82143,1,0.92421,0.0005875,0.0005875,0.0005875
27,953.125,0.09577,0.79464,1,0.88317,0.000571,0.000571,0.000571
28,988.604,0.05789,0.8125,0.99107,0.76364,0.0005545,0.0005545,0.0005545
29,1023.15,0.05449,0.79464,0.98214,0.87888,0.000538,0.000538,0.000538
30,1058.25,0.06775,0.78571,0.98214,0.92271,0.0005215,0.0005215,0.0005215
31,1094.23,0.06022,0.80357,0.99107,1.06804,0.000505,0.000505,0.000505
32,1129.61,0.08787,0.79464,0.99107,1.02853,0.0004885,0.0004885,0.0004885
33,1164.53,0.04554,0.80357,0.99107,0.93025,0.000472,0.000472,0.000472
34,1207.69,0.0777,0.8125,0.99107,1.01579,0.0004555,0.0004555,0.0004555
35,1274.03,0.04728,0.83036,0.99107,0.93412,0.000439,0.000439,0.000439
36,1318.77,0.05287,0.8125,0.98214,0.96217,0.0004225,0.0004225,0.0004225
37,1355.38,0.05977,0.80357,0.98214,0.9007,0.000406,0.000406,0.000406
38,1390.25,0.04747,0.80357,0.98214,0.92698,0.0003895,0.0003895,0.0003895
39,1426.57,0.03922,0.82143,0.98214,0.89747,0.000373,0.000373,0.000373
40,1462.85,0.05179,0.83036,0.98214,0.93419,0.0003565,0.0003565,0.0003565
41,1499.84,0.03543,0.8125,0.98214,1.00079,0.00034,0.00034,0.00034
42,1535.31,0.03972,0.8125,0.97321,1.04411,0.0003235,0.0003235,0.0003235
43,1572.32,0.04198,0.82143,0.97321,1.06448,0.000307,0.000307,0.000307
44,1608.81,0.08546,0.8125,0.98214,0.98526,0.0002905,0.0002905,0.0002905
45,1644.62,0.03032,0.83036,0.99107,0.91293,0.000274,0.000274,0.000274
46,1681.27,0.04104,0.79464,0.99107,0.97658,0.0002575,0.0002575,0.0002575
47,1717.9,0.03176,0.82143,0.99107,0.92067,0.000241,0.000241,0.000241
48,1753.4,0.03519,0.82143,0.99107,0.90882,0.0002245,0.0002245,0.0002245
49,1789.76,0.03892,0.8125,0.99107,0.89471,0.000208,0.000208,0.000208
50,1826.58,0.03786,0.8125,0.99107,0.89817,0.0001915,0.0001915,0.0001915
51,1864.09,0.04137,0.79464,0.99107,1.0472,0.000175,0.000175,0.000175
52,1900.71,0.02185,0.80357,0.99107,0.96275,0.0001585,0.0001585,0.0001585
53,1936.67,0.02353,0.8125,0.99107,0.94764,0.000142,0.000142,0.000142
54,1972.89,0.02173,0.83036,0.99107,0.92773,0.0001255,0.0001255,0.0001255
55,2008.7,0.03931,0.8125,0.99107,0.95855,0.000109,0.000109,0.000109
56,2045.87,0.03785,0.8125,0.99107,0.96519,9.25e-05,9.25e-05,9.25e-05
57,2082.21,0.03316,0.83036,0.98214,0.9744,7.6e-05,7.6e-05,7.6e-05
58,2118.01,0.05105,0.83036,0.98214,0.95529,5.95e-05,5.95e-05,5.95e-05
59,2153.5,0.0373,0.82143,0.99107,1.02518,4.3e-05,4.3e-05,4.3e-05
60,2190.82,0.02408,0.82143,0.98214,1.03653,2.65e-05,2.65e-05,2.65e-05
