epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.60962,1.83801,0.62937,0.92308,1.41168,0.000298792,0.000298792,0.000298792
2,6.24597,1.25773,0.72727,0.94406,0.83108,0.000591862,0.000591862,0.000591862
3,8.74464,0.85798,0.78322,0.97902,0.6556,0.000874934,0.000874934,0.000874934
4,11.2113,0.72009,0.79021,0.97902,0.61883,0.000864004,0.000864004,0.000864004
5,13.741,0.56506,0.78322,0.96503,0.68544,0.000849006,0.000849006,0.000849006
6,16.2821,0.46933,0.7972,0.97902,0.70441,0.000834007,0.000834007,0.000834007
7,18.6998,0.43507,0.76923,0.96503,0.65679,0.000819009,0.000819009,0.000819009
8,21.1775,0.44233,0.83217,0.96503,0.65335,0.00080401,0.00080401,0.00080401
9,23.6501,0.40339,0.8042,0.96503,0.67386,0.000789012,0.000789012,0.000789012
10,26.1032,0.35695,0.82517,0.97203,0.71973,0.000774013,0.000774013,0.000774013
11,28.3906,0.30035,0.81119,0.97902,0.79744,0.000759015,0.000759015,0.000759015
12,30.8301,0.27527,0.81818,0.97203,0.84587,0.000744016,0.000744016,0.000744016
13,33.3765,0.27215,0.81119,0.96503,0.88105,0.000729018,0.000729018,0.000729018
14,35.911,0.25154,0.76224,0.97203,0.81066,0.000714019,0.000714019,0.000714019
15,38.306,0.21904,0.76923,0.96503,0.87085,0.000699021,0.000699021,0.000699021
16,40.6742,0.20901,0.78322,0.96503,0.9578,0.000684022,0.000684022,0.000684022
17,43.0794,0.24742,0.76224,0.96503,0.94274,0.000669024,0.000669024,0.000669024
18,45.5331,0.19747,0.79021,0.95105,0.91497,0.000654025,0.000654025,0.000654025
19,47.8556,0.17551,0.78322,0.95804,1.00163,0.000639027,0.000639027,0.000639027
20,50.3349,0.2107,0.7972,0.95105,0.99183,0.000624028,0.000624028,0.000624028
21,52.745,0.13336,0.7972,0.97203,0.94675,0.00060903,0.00060903,0.00060903
22,55.2152,0.21019,0.79021,0.95804,1.0119,0.000594031,0.000594031,0.000594031
23,57.5659,0.15744,0.76923,0.97203,1.0988,0.000579033,0.000579033,0.000579033
24,60.02,0.1518,0.8042,0.96503,0.91165,0.000564034,0.000564034,0.000564034
25,62.4364,0.13896,0.81818,0.97203,0.76393,0.000549036,0.000549036,0.000549036
26,64.8366,0.16398,0.81818,0.97203,0.78254,0.000534037,0.000534037,0.000534037
27,67.1663,0.16634,0.8042,0.98601,0.81756,0.000519039,0.000519039,0.000519039
28,69.6824,0.12265,0.82517,0.97902,0.82727,0.00050404,0.00050404,0.00050404
29,72.134,0.14286,0.82517,0.98601,0.82925,0.000489042,0.000489042,0.000489042
30,74.6307,0.12715,0.81818,0.97902,0.92132,0.000474043,0.000474043,0.000474043
31,77.0656,0.10858,0.81119,0.97203,0.91021,0.000459045,0.000459045,0.000459045
32,79.5204,0.12195,0.81818,0.98601,0.96667,0.000444046,0.000444046,0.000444046
33,81.9487,0.16115,0.7972,0.97902,0.96246,0.000429048,0.000429048,0.000429048
34,84.3975,0.14411,0.83217,0.95804,0.95056,0.000414049,0.000414049,0.000414049
35,86.878,0.1225,0.79021,0.97902,0.96503,0.000399051,0.000399051,0.000399051
36,89.2373,0.12108,0.81119,0.97902,0.90847,0.000384052,0.000384052,0.000384052
37,91.7641,0.10527,0.83217,0.97902,0.88387,0.000369054,0.000369054,0.000369054
38,94.2382,0.10745,0.83916,0.96503,0.91076,0.000354055,0.000354055,0.000354055
39,96.6704,0.06481,0.81818,0.96503,0.92735,0.000339057,0.000339057,0.000339057
40,99.0226,0.10989,0.7972,0.97902,1.00827,0.000324058,0.000324058,0.000324058
41,101.442,0.1288,0.82517,0.97203,0.90717,0.00030906,0.00030906,0.00030906
42,103.933,0.11302,0.83916,0.97203,0.95567,0.000294061,0.000294061,0.000294061
43,106.371,0.07457,0.82517,0.97203,0.93517,0.000279063,0.000279063,0.000279063
44,108.808,0.07971,0.82517,0.97203,0.89322,0.000264064,0.000264064,0.000264064
45,111.252,0.10638,0.83217,0.96503,0.89651,0.000249066,0.000249066,0.000249066
46,113.604,0.07418,0.83217,0.97902,0.86093,0.000234068,0.000234068,0.000234068
47,116.065,0.07303,0.82517,0.97203,0.86948,0.000219069,0.000219069,0.000219069
48,118.488,0.08979,0.83916,0.97203,0.86919,0.00020407,0.00020407,0.00020407
49,121.007,0.11272,0.83217,0.97203,0.90082,0.000189072,0.000189072,0.000189072
50,123.466,0.08628,0.83217,0.96503,0.91127,0.000174074,0.000174074,0.000174074
51,151.029,0.0896,0.82517,0.96503,0.88927,0.000159075,0.000159075,0.000159075
52,153.486,0.07563,0.83916,0.97203,0.95386,0.000144077,0.000144077,0.000144077
53,155.958,0.09899,0.82517,0.97203,0.89895,0.000129078,0.000129078,0.000129078
54,158.417,0.07731,0.83217,0.97203,0.88919,0.00011408,0.00011408,0.00011408
55,160.91,0.07899,0.83217,0.97203,0.90476,9.9081e-05,9.9081e-05,9.9081e-05
56,163.393,0.07764,0.82517,0.96503,0.93243,8.40825e-05,8.40825e-05,8.40825e-05
57,165.826,0.07006,0.82517,0.96503,0.92212,6.9084e-05,6.9084e-05,6.9084e-05
58,168.205,0.06295,0.83217,0.96503,0.87891,5.40855e-05,5.40855e-05,5.40855e-05
59,170.445,0.08957,0.81818,0.96503,0.90323,3.9087e-05,3.9087e-05,3.9087e-05
60,172.759,0.06955,0.82517,0.97203,0.92266,2.40885e-05,2.40885e-05,2.40885e-05
