epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.51797,0.96594,0.87097,1,0.54523,0.0004287,0.0004287,0.0004287
2,3.89636,0.47789,0.8871,1,0.25574,0.000857307,0.000857307,0.000857307
3,5.11853,0.29852,0.93548,1,0.19096,0.0012713,0.0012713,0.0012713
4,6.29717,0.27303,0.91935,1,0.25896,0.00135826,0.00135826,0.00135826
5,7.42547,0.19473,0.87097,1,0.39307,0.00133469,0.00133469,0.00133469
6,8.5323,0.16001,0.8871,1,0.31274,0.00131111,0.00131111,0.00131111
7,9.69526,0.13113,0.93548,1,0.21298,0.00128753,0.00128753,0.00128753
8,10.8847,0.11292,0.91935,1,0.23019,0.00126395,0.00126395,0.00126395
9,12.0208,0.17731,0.90323,1,0.27394,0.00124037,0.00124037,0.00124037
10,13.1379,0.12246,0.8871,1,0.3767,0.00121679,0.00121679,0.00121679
11,14.3066,0.16685,0.90323,1,0.39907,0.00119322,0.00119322,0.00119322
12,15.4364,0.11596,0.90323,1,0.30829,0.00116964,0.00116964,0.00116964
13,16.575,0.18198,0.90323,1,0.3295,0.00114606,0.00114606,0.00114606
14,17.7243,0.1375,0.8871,1,0.31369,0.00112248,0.00112248,0.00112248
15,18.8923,0.12088,0.90323,1,0.35358,0.0010989,0.0010989,0.0010989
16,20.0214,0.09014,0.90323,1,0.35954,0.00107532,0.00107532,0.00107532
17,21.1974,0.0603,0.8871,1,0.45288,0.00105174,0.00105174,0.00105174
18,24.2285,0.07105,0.90323,1,0.491,0.00102817,0.00102817,0.00102817
19,25.6343,0.07252,0.87097,1,0.6379,0.00100459,0.00100459,0.00100459
20,28.2765,0.05235,0.87097,1,0.6701,0.000981008,0.000981008,0.000981008
21,29.6028,0.05776,0.87097,1,0.76349,0.00095743,0.00095743,0.00095743
22,31.5282,0.06212,0.90323,1,0.66339,0.000933851,0.000933851,0.000933851
23,34.1187,0.04775,0.90323,1,0.49698,0.000910273,0.000910273,0.000910273
24,36.801,0.02785,0.90323,1,0.448,0.000886694,0.000886694,0.000886694
25,39.2485,0.04526,0.90323,1,0.32734,0.000863116,0.000863116,0.000863116
26,41.7869,0.02737,0.91935,1,0.38077,0.000839537,0.000839537,0.000839537
27,44.3751,0.02754,0.90323,1,0.3414,0.000815959,0.000815959,0.000815959
28,47.0441,0.04492,0.91935,1,0.38563,0.00079238,0.00079238,0.00079238
29,50.0206,0.03786,0.8871,1,0.51263,0.000768802,0.000768802,0.000768802
30,52.8308,0.03687,0.91935,1,0.53445,0.000745223,0.000745223,0.000745223
31,55.0304,0.0399,0.8871,1,0.63196,0.000721645,0.000721645,0.000721645
32,56.8489,0.02036,0.90323,1,0.55524,0.000698066,0.000698066,0.000698066
33,59.7153,0.04216,0.90323,1,0.54894,0.000674488,0.000674488,0.000674488
34,62.1581,0.02821,0.90323,1,0.52611,0.000650909,0.000650909,0.000650909
35,63.7744,0.04641,0.91935,1,0.54262,0.000627331,0.000627331,0.000627331
36,65.4217,0.03309,0.90323,1,0.56891,0.000603752,0.000603752,0.000603752
37,66.9592,0.02496,0.90323,1,0.57979,0.000580174,0.000580174,0.000580174
38,68.4067,0.03062,0.90323,1,0.55109,0.000556595,0.000556595,0.000556595
39,69.8716,0.01954,0.90323,1,0.57885,0.000533017,0.000533017,0.000533017
40,71.2629,0.01981,0.8871,1,0.55208,0.000509438,0.000509438,0.000509438
41,72.8322,0.01789,0.8871,1,0.61151,0.00048586,0.00048586,0.00048586
42,74.2585,0.02115,0.8871,1,0.57441,0.000462281,0.000462281,0.000462281
43,75.5902,0.02995,0.8871,1,0.59384,0.000438703,0.000438703,0.000438703
44,76.8824,0.01426,0.8871,1,0.68381,0.000415124,0.000415124,0.000415124
45,78.1699,0.03082,0.87097,1,0.63885,0.000391546,0.000391546,0.000391546
46,79.4821,0.02464,0.8871,1,0.62878,0.000367967,0.000367967,0.000367967
47,80.9279,0.01516,0.87097,1,0.66251,0.000344389,0.000344389,0.000344389
48,82.2653,0.00789,0.8871,1,0.57935,0.00032081,0.00032081,0.00032081
49,83.6121,0.0157,0.8871,1,0.62299,0.000297232,0.000297232,0.000297232
50,84.9422,0.00617,0.8871,1,0.55722,0.000273654,0.000273654,0.000273654
51,125.954,0.02753,0.8871,1,0.56042,0.000250075,0.000250075,0.000250075
52,127.262,0.00718,0.8871,1,0.57453,0.000226497,0.000226497,0.000226497
53,128.598,0.01723,0.8871,1,0.55377,0.000202918,0.000202918,0.000202918
54,129.872,0.00594,0.8871,1,0.56842,0.00017934,0.00017934,0.00017934
55,131.238,0.02387,0.8871,1,0.53103,0.000155761,0.000155761,0.000155761
56,132.625,0.00517,0.8871,1,0.53946,0.000132183,0.000132183,0.000132183
57,133.94,0.02706,0.8871,1,0.57999,0.000108604,0.000108604,0.000108604
58,135.214,0.015,0.8871,1,0.51837,8.50255e-05,8.50255e-05,8.50255e-05
59,136.492,0.0222,0.90323,1,0.53772,6.1447e-05,6.1447e-05,6.1447e-05
60,137.757,0.0112,0.90323,1,0.57599,3.78685e-05,3.78685e-05,3.78685e-05
