epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.8279,1.52019,0.81373,1,0.9391,0.000363072,0.000363072,0.000363072
2,4.83679,0.86256,0.90196,1,0.34658,0.000721304,0.000721304,0.000721304
3,6.67371,0.51445,0.91176,1,0.23473,0.00106732,0.00106732,0.00106732
4,8.48432,0.37728,0.91176,1,0.22603,0.00105601,0.00105601,0.00105601
5,10.313,0.35522,0.94118,1,0.23334,0.00103767,0.00103767,0.00103767
6,12.1369,0.25851,0.94118,1,0.31424,0.00101934,0.00101934,0.00101934
7,13.9364,0.29232,0.94118,1,0.21127,0.00100101,0.00100101,0.00100101
8,15.7552,0.28158,0.91176,1,0.28969,0.000982679,0.000982679,0.000982679
9,17.538,0.17978,0.93137,1,0.30673,0.000964348,0.000964348,0.000964348
10,19.3287,0.16702,0.95098,1,0.21958,0.000946016,0.000946016,0.000946016
11,21.1239,0.20936,0.94118,1,0.24241,0.000927685,0.000927685,0.000927685
12,22.9772,0.19628,0.93137,1,0.22268,0.000909353,0.000909353,0.000909353
13,24.7855,0.14776,0.93137,1,0.24458,0.000891022,0.000891022,0.000891022
14,26.5208,0.1552,0.94118,1,0.19675,0.000872691,0.000872691,0.000872691
15,28.2562,0.1731,0.91176,1,0.24009,0.000854359,0.000854359,0.000854359
16,30.0815,0.15038,0.94118,1,0.21659,0.000836027,0.000836027,0.000836027
17,31.8596,0.12559,0.93137,1,0.25706,0.000817696,0.000817696,0.000817696
18,33.6574,0.0984,0.95098,1,0.23803,0.000799365,0.000799365,0.000799365
19,35.4889,0.11691,0.95098,1,0.29307,0.000781033,0.000781033,0.000781033
20,37.2862,0.16992,0.95098,1,0.23614,0.000762702,0.000762702,0.000762702
21,39.0367,0.12295,0.95098,1,0.25163,0.00074437,0.00074437,0.00074437
22,40.8048,0.09378,0.92157,1,0.30878,0.000726038,0.000726038,0.000726038
23,42.5493,0.08027,0.93137,1,0.28271,0.000707707,0.000707707,0.000707707
24,44.2972,0.07739,0.92157,1,0.29333,0.000689376,0.000689376,0.000689376
25,46.1083,0.07894,0.93137,1,0.25136,0.000671044,0.000671044,0.000671044
26,47.8468,0.0801,0.95098,1,0.24051,0.000652712,0.000652712,0.000652712
27,49.6313,0.08767,0.95098,1,0.30355,0.000634381,0.000634381,0.000634381
28,51.3819,0.05752,0.94118,1,0.25652,0.000616049,0.000616049,0.000616049
29,53.1851,0.07503,0.95098,1,0.24665,0.000597718,0.000597718,0.000597718
30,55.0023,0.03977,0.95098,1,0.28787,0.000579386,0.000579386,0.000579386
31,56.8138,0.07145,0.92157,1,0.4772,0.000561055,0.000561055,0.000561055
32,58.6227,0.08324,0.94118,1,0.3269,0.000542723,0.000542723,0.000542723
33,60.4123,0.07305,0.95098,1,0.41727,0.000524392,0.000524392,0.000524392
34,62.1939,0.10052,0.96078,1,0.2542,0.00050606,0.00050606,0.00050606
35,64.0772,0.05705,0.93137,1,0.23199,0.000487729,0.000487729,0.000487729
36,65.8871,0.07981,0.94118,1,0.35879,0.000469397,0.000469397,0.000469397
37,67.6632,0.05368,0.93137,1,0.23772,0.000451066,0.000451066,0.000451066
38,69.4771,0.05713,0.94118,1,0.21991,0.000432734,0.000432734,0.000432734
39,71.209,0.06967,0.93137,1,0.2276,0.000414403,0.000414403,0.000414403
40,72.9326,0.03844,0.92157,1,0.27275,0.000396071,0.000396071,0.000396071
41,74.6934,0.03795,0.92157,1,0.23307,0.00037774,0.00037774,0.00037774
42,76.4878,0.05874,0.93137,1,0.23279,0.000359409,0.000359409,0.000359409
43,78.2346,0.05222,0.91176,1,0.37756,0.000341077,0.000341077,0.000341077
44,80.0109,0.04766,0.92157,1,0.28432,0.000322745,0.000322745,0.000322745
45,81.7805,0.03878,0.93137,1,0.28087,0.000304414,0.000304414,0.000304414
46,83.5466,0.04403,0.94118,1,0.2459,0.000286083,0.000286083,0.000286083
47,85.3358,0.03338,0.94118,1,0.23273,0.000267751,0.000267751,0.000267751
48,87.1573,0.05935,0.94118,1,0.21998,0.00024942,0.00024942,0.00024942
49,88.9361,0.03,0.92157,1,0.22443,0.000231088,0.000231088,0.000231088
50,90.6821,0.08161,0.93137,1,0.2184,0.000212757,0.000212757,0.000212757
51,117.478,0.04329,0.93137,1,0.19393,0.000194425,0.000194425,0.000194425
52,119.292,0.02719,0.92157,1,0.21958,0.000176094,0.000176094,0.000176094
53,121.09,0.02995,0.94118,1,0.2218,0.000157762,0.000157762,0.000157762
54,122.896,0.02834,0.93137,1,0.21065,0.000139431,0.000139431,0.000139431
55,124.698,0.03581,0.93137,1,0.33858,0.000121099,0.000121099,0.000121099
56,126.441,0.02935,0.92157,1,0.21384,0.000102768,0.000102768,0.000102768
57,128.237,0.04476,0.93137,1,0.23889,8.4436e-05,8.4436e-05,8.4436e-05
58,129.973,0.03981,0.92157,1,0.22394,6.61045e-05,6.61045e-05,6.61045e-05
59,131.754,0.02626,0.92157,1,0.18337,4.7773e-05,4.7773e-05,4.7773e-05
60,133.523,0.02326,0.95098,1,0.20829,2.94415e-05,2.94415e-05,2.94415e-05
