epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,34.6009,1.99469,0.59167,0.83333,1.57714,0.000273039,0.000273039,0.000273039
2,69.5995,1.44548,0.7,0.90833,0.93707,0.000541619,0.000541619,0.000541619
3,105.416,0.94761,0.78333,0.95,0.60964,0.000801036,0.000801036,0.000801036
4,139.926,0.65216,0.825,0.93333,0.61001,0.000791767,0.000791767,0.000791767
5,173.647,0.52148,0.83333,0.95,0.59896,0.000778022,0.000778022,0.000778022
6,207.167,0.46306,0.825,0.93333,0.68569,0.000764278,0.000764278,0.000764278
7,240.636,0.41491,0.825,0.95,0.67165,0.000750533,0.000750533,0.000750533
8,275.619,0.33998,0.79167,0.95833,0.70007,0.000736788,0.000736788,0.000736788
9,309.745,0.28362,0.80833,0.95,0.75324,0.000723044,0.000723044,0.000723044
10,344.082,0.26294,0.81667,0.95,0.73668,0.000709299,0.000709299,0.000709299
11,378.183,0.25568,0.825,0.95,0.74799,0.000695555,0.000695555,0.000695555
12,413.503,0.23491,0.83333,0.94167,0.73685,0.00068181,0.00068181,0.00068181
13,449.035,0.20191,0.84167,0.95,0.68629,0.000668066,0.000668066,0.000668066
14,484.841,0.18137,0.825,0.95833,0.74077,0.000654321,0.000654321,0.000654321
15,520.409,0.16273,0.81667,0.95833,0.82609,0.000640577,0.000640577,0.000640577
16,556.298,0.18905,0.825,0.95833,0.87198,0.000626832,0.000626832,0.000626832
17,592.184,0.12551,0.825,0.95833,0.85794,0.000613088,0.000613088,0.000613088
18,626.245,0.14384,0.81667,0.95833,0.79206,0.000599343,0.000599343,0.000599343
19,660.325,0.13932,0.825,0.95833,0.81537,0.000585599,0.000585599,0.000585599
20,694.666,0.13348,0.83333,0.95833,0.78296,0.000571854,0.000571854,0.000571854
21,729.932,0.12471,0.825,0.95,0.8755,0.00055811,0.00055811,0.00055811
22,765.579,0.15094,0.825,0.94167,0.87685,0.000544365,0.000544365,0.000544365
23,799.84,0.14272,0.83333,0.95,0.89621,0.000530621,0.000530621,0.000530621
24,835.674,0.1085,0.83333,0.96667,0.93533,0.000516877,0.000516877,0.000516877
25,869.307,0.10389,0.84167,0.95833,0.88352,0.000503132,0.000503132,0.000503132
26,904.049,0.10916,0.825,0.96667,0.91349,0.000489387,0.000489387,0.000489387
27,937.886,0.1375,0.83333,0.96667,0.96215,0.000475643,0.000475643,0.000475643
28,972.088,0.08979,0.825,0.96667,0.91992,0.000461898,0.000461898,0.000461898
29,1006.55,0.12288,0.83333,0.95833,0.85717,0.000448154,0.000448154,0.000448154
30,1041.71,0.11356,0.85,0.95833,0.96531,0.000434409,0.000434409,0.000434409
31,1076.48,0.09501,0.81667,0.96667,1.00362,0.000420665,0.000420665,0.000420665
32,1110.62,0.05731,0.81667,0.975,1.02266,0.00040692,0.00040692,0.00040692
33,1144.92,0.08101,0.825,0.96667,1.03393,0.000393176,0.000393176,0.000393176
34,1180.13,0.06399,0.84167,0.975,0.87635,0.000379431,0.000379431,0.000379431
35,1214.85,0.09808,0.81667,0.975,1.07204,0.000365687,0.000365687,0.000365687
36,1250.11,0.06298,0.81667,0.96667,0.94332,0.000351942,0.000351942,0.000351942
37,1285.04,0.07408,0.84167,0.95833,0.91286,0.000338198,0.000338198,0.000338198
38,1319.94,0.04953,0.83333,0.95833,1.09298,0.000324453,0.000324453,0.000324453
39,1354.11,0.09349,0.80833,0.96667,0.95066,0.000310709,0.000310709,0.000310709
40,1389.15,0.05201,0.80833,0.96667,0.99874,0.000296964,0.000296964,0.000296964
41,1423.27,0.07285,0.83333,0.95833,0.94675,0.00028322,0.00028322,0.00028322
42,1458.36,0.05772,0.81667,0.96667,0.85547,0.000269475,0.000269475,0.000269475
43,1493.22,0.04697,0.825,0.95833,0.84676,0.000255731,0.000255731,0.000255731
44,1528.51,0.05361,0.825,0.95833,0.90816,0.000241986,0.000241986,0.000241986
45,1568.29,0.04498,0.825,0.96667,0.90283,0.000228242,0.000228242,0.000228242
46,1603.83,0.08807,0.81667,0.95,1.00676,0.000214497,0.000214497,0.000214497
47,1637.92,0.0542,0.825,0.95,0.99048,0.000200753,0.000200753,0.000200753
48,1672.61,0.0549,0.825,0.95,1.05622,0.000187008,0.000187008,0.000187008
49,1707.61,0.04844,0.825,0.95,0.89397,0.000173264,0.000173264,0.000173264
50,1744.13,0.07858,0.84167,0.95,1.10261,0.00015952,0.00015952,0.00015952
51,1779.49,0.04059,0.83333,0.95,0.94186,0.000145775,0.000145775,0.000145775
52,1814.1,0.061,0.84167,0.95833,0.93552,0.000132031,0.000132031,0.000132031
53,1847.64,0.03464,0.81667,0.95,0.92362,0.000118286,0.000118286,0.000118286
54,1882.25,0.04339,0.825,0.95833,0.96319,0.000104542,0.000104542,0.000104542
55,1917.71,0.04455,0.83333,0.95833,1.06658,9.0797e-05,9.0797e-05,9.0797e-05
56,1953.6,0.04081,0.84167,0.95833,0.93718,7.70525e-05,7.70525e-05,7.70525e-05
57,1987.72,0.051,0.84167,0.94167,0.99405,6.3308e-05,6.3308e-05,6.3308e-05
58,2022.9,0.03475,0.83333,0.94167,0.98803,4.95635e-05,4.95635e-05,4.95635e-05
59,2056.43,0.02531,0.83333,0.95833,0.92994,3.5819e-05,3.5819e-05,3.5819e-05
60,2091.22,0.03835,0.84167,0.95,1.0142,2.20745e-05,2.20745e-05,2.20745e-05
