epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.39281,2.52826,0.36162,0.79336,2.18474,0.000194559,0.000194559,0.000194559
2,11.1427,2.0205,0.63469,0.91882,1.27852,0.000384115,0.000384115,0.000384115
3,15.5788,1.4321,0.65683,0.92989,1.0027,0.000567202,0.000567202,0.000567202
4,20.0262,1.14192,0.67159,0.93727,1.00491,0.000558894,0.000558894,0.000558894
5,24.474,1.00111,0.69004,0.93358,0.93535,0.000549192,0.000549192,0.000549192
6,28.6173,0.87328,0.7048,0.93358,0.88933,0.00053949,0.00053949,0.00053949
7,33.0057,0.7874,0.69004,0.91882,0.93155,0.000529788,0.000529788,0.000529788
8,37.2646,0.65724,0.74539,0.93727,0.90249,0.000520086,0.000520086,0.000520086
9,41.6257,0.62178,0.69373,0.93358,1.00014,0.000510384,0.000510384,0.000510384
10,46.0154,0.56642,0.71956,0.92989,0.98651,0.000500682,0.000500682,0.000500682
11,50.4001,0.51382,0.70111,0.94096,1.0335,0.00049098,0.00049098,0.00049098
12,54.7725,0.49164,0.73432,0.94465,0.99394,0.000481278,0.000481278,0.000481278
13,59.1187,0.48621,0.73432,0.94465,1.04195,0.000471576,0.000471576,0.000471576
14,63.3196,0.42848,0.72325,0.9262,1.07805,0.000461874,0.000461874,0.000461874
15,67.7861,0.3983,0.70849,0.94465,1.111,0.000452172,0.000452172,0.000452172
16,72.1094,0.39359,0.73063,0.92989,1.14687,0.00044247,0.00044247,0.00044247
17,76.4827,0.36519,0.73063,0.92989,1.15186,0.000432768,0.000432768,0.000432768
18,80.8648,0.35463,0.73432,0.92989,1.27502,0.000423066,0.000423066,0.000423066
19,85.2724,0.33165,0.73063,0.93727,1.27193,0.000413364,0.000413364,0.000413364
20,89.715,0.32632,0.7417,0.92989,1.29005,0.000403662,0.000403662,0.000403662
21,93.8204,0.31444,0.73801,0.92251,1.20801,0.00039396,0.00039396,0.00039396
22,98.1696,0.33231,0.7048,0.93358,1.29975,0.000384258,0.000384258,0.000384258
23,102.578,0.28198,0.72325,0.92989,1.34435,0.000374556,0.000374556,0.000374556
24,106.695,0.27129,0.72694,0.93727,1.27216,0.000364854,0.000364854,0.000364854
25,111.062,0.24377,0.73432,0.9262,1.28566,0.000355152,0.000355152,0.000355152
26,115.487,0.25159,0.72694,0.93358,1.37098,0.00034545,0.00034545,0.00034545
27,119.884,0.24607,0.71956,0.92989,1.42292,0.000335748,0.000335748,0.000335748
28,124.231,0.19521,0.72325,0.93358,1.32575,0.000326046,0.000326046,0.000326046
29,128.312,0.21832,0.75277,0.93358,1.29719,0.000316344,0.000316344,0.000316344
30,132.711,0.23628,0.71956,0.92251,1.36526,0.000306642,0.000306642,0.000306642
31,137.09,0.21756,0.72325,0.9262,1.37942,0.00029694,0.00029694,0.00029694
32,141.183,0.17924,0.72694,0.9262,1.38557,0.000287238,0.000287238,0.000287238
33,145.554,0.1958,0.73801,0.94096,1.43421,0.000277536,0.000277536,0.000277536
34,149.922,0.17971,0.72694,0.9262,1.39924,0.000267834,0.000267834,0.000267834
35,154.342,0.2011,0.75277,0.94096,1.41782,0.000258132,0.000258132,0.000258132
36,159.046,0.1716,0.7417,0.93727,1.43209,0.00024843,0.00024843,0.00024843
37,163.565,0.19222,0.73432,0.94096,1.39156,0.000238728,0.000238728,0.000238728
38,168.243,0.15532,0.73801,0.93358,1.48644,0.000229026,0.000229026,0.000229026
39,172.862,0.19477,0.73063,0.93358,1.44168,0.000219324,0.000219324,0.000219324
40,177.549,0.17176,0.71587,0.94465,1.39442,0.000209622,0.000209622,0.000209622
41,182.08,0.17173,0.73063,0.93358,1.35271,0.00019992,0.00019992,0.00019992
42,186.709,0.16404,0.73432,0.93358,1.43624,0.000190218,0.000190218,0.000190218
43,191.339,0.1529,0.73432,0.93727,1.43851,0.000180516,0.000180516,0.000180516
44,195.935,0.16102,0.74908,0.9262,1.44515,0.000170814,0.000170814,0.000170814
45,200.568,0.14276,0.74539,0.92989,1.44951,0.000161112,0.000161112,0.000161112
46,205.097,0.13102,0.74539,0.92989,1.52125,0.00015141,0.00015141,0.00015141
47,209.947,0.14643,0.75277,0.94096,1.42233,0.000141708,0.000141708,0.000141708
48,214.681,0.14216,0.75646,0.93727,1.46453,0.000132006,0.000132006,0.000132006
49,219.233,0.15105,0.7417,0.9262,1.46461,0.000122304,0.000122304,0.000122304
50,223.892,0.14663,0.74539,0.93358,1.47866,0.000112602,0.000112602,0.000112602
51,260.563,0.16361,0.74539,0.9262,1.46801,0.0001029,0.0001029,0.0001029
52,265.321,0.14799,0.74539,0.9262,1.48455,9.3198e-05,9.3198e-05,9.3198e-05
53,269.95,0.1518,0.74539,0.92989,1.44526,8.3496e-05,8.3496e-05,8.3496e-05
54,274.606,0.11856,0.75646,0.93727,1.48774,7.3794e-05,7.3794e-05,7.3794e-05
55,279.246,0.13418,0.75277,0.92989,1.51337,6.4092e-05,6.4092e-05,6.4092e-05
56,283.786,0.11532,0.74908,0.91882,1.49713,5.439e-05,5.439e-05,5.439e-05
57,288.356,0.12757,0.74539,0.93358,1.47563,4.4688e-05,4.4688e-05,4.4688e-05
58,293.023,0.11509,0.73801,0.9262,1.52044,3.4986e-05,3.4986e-05,3.4986e-05
59,297.556,0.1139,0.74539,0.93358,1.49836,2.5284e-05,2.5284e-05,2.5284e-05
60,302.208,0.12677,0.72694,0.92989,1.46154,1.5582e-05,1.5582e-05,1.5582e-05
