epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.4284,1.48578,0.68354,1,1.11169,0.000361075,0.000361075,0.000361075
2,48.3042,0.97694,0.77215,1,0.61303,0.00071934,0.00071934,0.00071934
3,72.0728,0.65065,0.79747,1,0.47132,0.00106538,0.00106538,0.00106538
4,95.0462,0.44303,0.82278,1,0.4083,0.00105601,0.00105601,0.00105601
5,120.989,0.39055,0.82278,1,0.54661,0.00103767,0.00103767,0.00103767
6,149.442,0.31602,0.78481,1,0.69718,0.00101934,0.00101934,0.00101934
7,172.819,0.26971,0.77215,1,0.68114,0.00100101,0.00100101,0.00100101
8,196.31,0.25322,0.77215,1,0.67091,0.000982679,0.000982679,0.000982679
9,219.604,0.23646,0.75949,1,0.84515,0.000964348,0.000964348,0.000964348
10,243.319,0.22224,0.77215,1,0.92561,0.000946016,0.000946016,0.000946016
11,266.676,0.14322,0.81013,1,0.7846,0.000927685,0.000927685,0.000927685
12,290.609,0.13332,0.77215,1,0.86424,0.000909353,0.000909353,0.000909353
13,314.353,0.15874,0.78481,1,0.85211,0.000891022,0.000891022,0.000891022
14,337.852,0.16722,0.75949,1,1.03429,0.000872691,0.000872691,0.000872691
15,360.716,0.13138,0.75949,1,1.03566,0.000854359,0.000854359,0.000854359
16,383.648,0.22044,0.75949,1,1.13229,0.000836027,0.000836027,0.000836027
17,409.394,0.1273,0.77215,1,1.09348,0.000817696,0.000817696,0.000817696
18,434.539,0.15376,0.78481,1,1.01919,0.000799365,0.000799365,0.000799365
19,458.824,0.12264,0.82278,1,0.91064,0.000781033,0.000781033,0.000781033
20,483.275,0.17881,0.82278,1,1.02672,0.000762702,0.000762702,0.000762702
21,507.837,0.1475,0.82278,1,1.1265,0.00074437,0.00074437,0.00074437
22,531.724,0.10225,0.82278,1,1.05996,0.000726038,0.000726038,0.000726038
23,555.431,0.12981,0.81013,1,1.10439,0.000707707,0.000707707,0.000707707
24,578.989,0.09707,0.77215,1,1.19455,0.000689376,0.000689376,0.000689376
25,603.298,0.13509,0.77215,1,1.23698,0.000671044,0.000671044,0.000671044
26,626.39,0.13778,0.77215,1,1.312,0.000652712,0.000652712,0.000652712
27,650.146,0.08798,0.75949,1,1.35955,0.000634381,0.000634381,0.000634381
28,675.896,0.10525,0.75949,1,1.28997,0.000616049,0.000616049,0.000616049
29,700.854,0.10751,0.75949,1,1.32793,0.000597718,0.000597718,0.000597718
30,725.407,0.06287,0.75949,1,1.37484,0.000579386,0.000579386,0.000579386
31,749.083,0.07064,0.75949,1,1.35719,0.000561055,0.000561055,0.000561055
32,773.143,0.07362,0.79747,1,1.38856,0.000542723,0.000542723,0.000542723
33,797.42,0.0727,0.81013,1,1.43282,0.000524392,0.000524392,0.000524392
34,821.044,0.05988,0.79747,1,1.49802,0.00050606,0.00050606,0.00050606
35,845.26,0.11483,0.77215,1,1.5704,0.000487729,0.000487729,0.000487729
36,870.169,0.08261,0.78481,1,1.61072,0.000469397,0.000469397,0.000469397
37,893.75,0.04954,0.77215,1,1.45064,0.000451066,0.000451066,0.000451066
38,918.318,0.08968,0.77215,1,1.29594,0.000432734,0.000432734,0.000432734
39,943.105,0.06703,0.78481,1,1.278,0.000414403,0.000414403,0.000414403
40,969.637,0.04101,0.78481,1,1.25644,0.000396071,0.000396071,0.000396071
41,994.638,0.06774,0.77215,1,1.36405,0.00037774,0.00037774,0.00037774
42,1018.6,0.05207,0.75949,1,1.41873,0.000359409,0.000359409,0.000359409
43,1043.62,0.08102,0.78481,1,1.45377,0.000341077,0.000341077,0.000341077
44,1067.94,0.05362,0.81013,1,1.42844,0.000322745,0.000322745,0.000322745
45,1092.12,0.05899,0.79747,1,1.41354,0.000304414,0.000304414,0.000304414
46,1116.22,0.05361,0.79747,1,1.44166,0.000286083,0.000286083,0.000286083
47,1140.62,0.05394,0.79747,1,1.4044,0.000267751,0.000267751,0.000267751
48,1165.36,0.04058,0.79747,1,1.37122,0.00024942,0.00024942,0.00024942
49,1190.17,0.0565,0.78481,1,1.4232,0.000231088,0.000231088,0.000231088
50,1214.78,0.06092,0.79747,1,1.36788,0.000212757,0.000212757,0.000212757
51,1238.97,0.0431,0.79747,1,1.35746,0.000194425,0.000194425,0.000194425
52,1263.42,0.03964,0.78481,1,1.3936,0.000176094,0.000176094,0.000176094
53,1288.12,0.03694,0.78481,1,1.44879,0.000157762,0.000157762,0.000157762
54,1313.84,0.051,0.79747,1,1.45555,0.000139431,0.000139431,0.000139431
55,1340.13,0.01914,0.77215,1,1.50809,0.000121099,0.000121099,0.000121099
56,1365.31,0.03229,0.79747,1,1.49409,0.000102768,0.000102768,0.000102768
57,1389.97,0.03536,0.79747,1,1.49347,8.4436e-05,8.4436e-05,8.4436e-05
58,1414.39,0.05122,0.79747,1,1.5004,6.61045e-05,6.61045e-05,6.61045e-05
59,1439.55,0.03569,0.78481,1,1.46787,4.7773e-05,4.7773e-05,4.7773e-05
60,1464.28,0.02777,0.78481,1,1.38531,2.94415e-05,2.94415e-05,2.94415e-05
