epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,35.8747,1.92232,0.44444,0.95726,1.58707,0.000297864,0.000297864,0.000297864
2,71.2288,1.52782,0.67521,0.99145,1.11153,0.00059095,0.00059095,0.00059095
3,105.955,1.10578,0.65812,0.99145,0.88114,0.000874037,0.000874037,0.000874037
4,140.413,0.90685,0.71795,0.99145,0.74864,0.000864004,0.000864004,0.000864004
5,173.995,0.67481,0.74359,0.99145,0.6857,0.000849006,0.000849006,0.000849006
6,207.952,0.60716,0.76068,0.98291,0.75987,0.000834007,0.000834007,0.000834007
7,242.893,0.46762,0.68376,0.98291,0.84407,0.000819009,0.000819009,0.000819009
8,280.336,0.38763,0.76923,0.97436,0.83326,0.00080401,0.00080401,0.00080401
9,318.735,0.36129,0.76068,0.98291,0.93489,0.000789012,0.000789012,0.000789012
10,361.563,0.28795,0.76068,0.99145,0.88846,0.000774013,0.000774013,0.000774013
11,398.418,0.30874,0.75214,0.97436,0.93762,0.000759015,0.000759015,0.000759015
12,575.872,0.30676,0.74359,0.98291,0.8446,0.000744016,0.000744016,0.000744016
13,638.644,0.21061,0.76068,0.99145,0.83654,0.000729018,0.000729018,0.000729018
14,682.169,0.23369,0.76068,0.98291,0.8252,0.000714019,0.000714019,0.000714019
15,719.271,0.27099,0.74359,0.99145,0.76895,0.000699021,0.000699021,0.000699021
16,755.094,0.23059,0.76068,0.99145,0.97137,0.000684022,0.000684022,0.000684022
17,793.147,0.19112,0.76068,0.99145,1.02377,0.000669024,0.000669024,0.000669024
18,831.782,0.19814,0.74359,0.97436,1.14316,0.000654025,0.000654025,0.000654025
19,879.6,0.18218,0.7094,0.98291,0.971,0.000639027,0.000639027,0.000639027
20,919.616,0.15745,0.76068,0.97436,1.03465,0.000624028,0.000624028,0.000624028
21,956.443,0.13869,0.7265,0.96581,1.19101,0.00060903,0.00060903,0.00060903
22,991.387,0.17719,0.76068,0.96581,1.09906,0.000594031,0.000594031,0.000594031
23,1028.23,0.16253,0.75214,0.99145,1.09582,0.000579033,0.000579033,0.000579033
24,1064.13,0.14277,0.79487,0.96581,1.06724,0.000564034,0.000564034,0.000564034
25,1100.72,0.14538,0.76923,0.96581,1.28001,0.000549036,0.000549036,0.000549036
26,1138.02,0.13459,0.76923,0.96581,0.95823,0.000534037,0.000534037,0.000534037
27,1177.36,0.18082,0.76923,0.96581,1.11345,0.000519039,0.000519039,0.000519039
28,1218.08,0.12928,0.76068,0.97436,0.99092,0.00050404,0.00050404,0.00050404
29,1254.93,0.12161,0.76068,0.97436,1.06114,0.000489042,0.000489042,0.000489042
30,1291.1,0.13148,0.76068,0.96581,0.98698,0.000474043,0.000474043,0.000474043
31,1327.22,0.09896,0.74359,0.97436,1.28641,0.000459045,0.000459045,0.000459045
32,1363.11,0.11689,0.73504,0.97436,1.51857,0.000444046,0.000444046,0.000444046
33,1399.66,0.10826,0.75214,0.98291,1.06491,0.000429048,0.000429048,0.000429048
34,1436.58,0.09165,0.75214,0.96581,1.11992,0.000414049,0.000414049,0.000414049
35,1472.23,0.09271,0.71795,0.97436,1.0086,0.000399051,0.000399051,0.000399051
36,1508.1,0.09772,0.74359,0.97436,1.119,0.000384052,0.000384052,0.000384052
37,1544.27,0.10625,0.75214,0.98291,1.08648,0.000369054,0.000369054,0.000369054
38,1580.77,0.10362,0.77778,0.97436,0.96157,0.000354055,0.000354055,0.000354055
39,1616.95,0.09965,0.77778,0.96581,1.20757,0.000339057,0.000339057,0.000339057
40,1652.86,0.07669,0.78632,0.98291,1.1067,0.000324058,0.000324058,0.000324058
41,1689.22,0.08977,0.76068,0.97436,1.04107,0.00030906,0.00030906,0.00030906
42,1725.41,0.06312,0.78632,0.97436,1.01807,0.000294061,0.000294061,0.000294061
43,1761.96,0.10047,0.75214,0.97436,1.02361,0.000279063,0.000279063,0.000279063
44,1798.14,0.06259,0.74359,0.96581,1.02361,0.000264064,0.000264064,0.000264064
45,1834.26,0.11162,0.7265,0.97436,1.09861,0.000249066,0.000249066,0.000249066
46,1870.73,0.07016,0.73504,0.96581,1.01618,0.000234068,0.000234068,0.000234068
47,1906.74,0.07689,0.74359,0.96581,1.32138,0.000219069,0.000219069,0.000219069
48,1943.53,0.05658,0.76068,0.96581,1.04606,0.00020407,0.00020407,0.00020407
49,1979.36,0.06956,0.76068,0.97436,1.15234,0.000189072,0.000189072,0.000189072
50,2015.58,0.04866,0.74359,0.96581,1.15002,0.000174074,0.000174074,0.000174074
51,2051.72,0.04588,0.73504,0.96581,1.0566,0.000159075,0.000159075,0.000159075
52,2088.68,0.08217,0.75214,0.97436,1.14916,0.000144077,0.000144077,0.000144077
53,2126.83,0.06033,0.7265,0.96581,1.19065,0.000129078,0.000129078,0.000129078
54,2163.09,0.07006,0.74359,0.96581,1.37221,0.00011408,0.00011408,0.00011408
55,2198.27,0.03346,0.73504,0.94872,1.0853,9.9081e-05,9.9081e-05,9.9081e-05
56,2235.17,0.04154,0.7265,0.94872,1.07653,8.40825e-05,8.40825e-05,8.40825e-05
57,2270.4,0.03457,0.7265,0.95726,1.14203,6.9084e-05,6.9084e-05,6.9084e-05
58,2307.39,0.07988,0.7265,0.96581,1.14322,5.40855e-05,5.40855e-05,5.40855e-05
59,2344.22,0.06056,0.7265,0.97436,1.11251,3.9087e-05,3.9087e-05,3.9087e-05
60,2381.15,0.06306,0.73504,0.96581,1.11145,2.40885e-05,2.40885e-05,2.40885e-05
