epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.02201,0.97323,0.85507,1,0.65254,0.000462724,0.000462724,0.000462724
2,4.68254,0.54943,0.88406,1,0.29536,0.000923563,0.000923563,0.000923563
3,6.04177,0.33709,0.92754,1,0.24247,0.00136868,0.00136868,0.00136868
4,7.4036,0.27887,0.88406,1,0.27847,0.00135826,0.00135826,0.00135826
5,8.79171,0.20008,0.95652,1,0.20508,0.00133469,0.00133469,0.00133469
6,10.3083,0.2163,0.85507,1,0.31683,0.00131111,0.00131111,0.00131111
7,11.6433,0.22839,0.91304,1,0.23746,0.00128753,0.00128753,0.00128753
8,12.9946,0.23021,0.91304,1,0.35821,0.00126395,0.00126395,0.00126395
9,14.3551,0.16751,0.91304,1,0.46963,0.00124037,0.00124037,0.00124037
10,15.7207,0.14767,0.92754,1,0.3897,0.00121679,0.00121679,0.00121679
11,17.0784,0.17199,0.91304,1,0.30712,0.00119322,0.00119322,0.00119322
12,18.4357,0.21363,0.91304,1,0.29681,0.00116964,0.00116964,0.00116964
13,19.7684,0.17814,0.91304,1,0.29086,0.00114606,0.00114606,0.00114606
14,21.0815,0.09256,0.88406,1,0.30798,0.00112248,0.00112248,0.00112248
15,22.405,0.19228,0.86957,1,0.53055,0.0010989,0.0010989,0.0010989
16,23.766,0.08404,0.91304,1,0.77496,0.00107532,0.00107532,0.00107532
17,25.0947,0.13038,0.89855,1,0.5446,0.00105174,0.00105174,0.00105174
18,26.4131,0.11243,0.88406,1,0.44673,0.00102817,0.00102817,0.00102817
19,27.7781,0.0929,0.86957,1,0.37882,0.00100459,0.00100459,0.00100459
20,29.1255,0.07393,0.89855,1,0.36669,0.000981008,0.000981008,0.000981008
21,30.4891,0.07835,0.89855,1,0.37091,0.00095743,0.00095743,0.00095743
22,31.8913,0.1132,0.88406,1,0.47468,0.000933851,0.000933851,0.000933851
23,33.1959,0.08734,0.89855,1,0.49302,0.000910273,0.000910273,0.000910273
24,34.5993,0.05404,0.88406,1,0.43021,0.000886694,0.000886694,0.000886694
25,35.9545,0.08479,0.88406,1,0.3728,0.000863116,0.000863116,0.000863116
26,37.3023,0.06769,0.89855,1,0.53733,0.000839537,0.000839537,0.000839537
27,38.6418,0.03773,0.89855,1,0.37673,0.000815959,0.000815959,0.000815959
28,39.9087,0.09,0.89855,1,0.44404,0.00079238,0.00079238,0.00079238
29,41.2481,0.04941,0.91304,1,0.47288,0.000768802,0.000768802,0.000768802
30,42.5831,0.06193,0.88406,1,0.55629,0.000745223,0.000745223,0.000745223
31,43.9443,0.11731,0.88406,1,0.66453,0.000721645,0.000721645,0.000721645
32,45.2636,0.07244,0.88406,1,0.45603,0.000698066,0.000698066,0.000698066
33,46.583,0.07402,0.88406,1,0.41996,0.000674488,0.000674488,0.000674488
34,47.9557,0.05622,0.88406,1,0.38147,0.000650909,0.000650909,0.000650909
35,49.2875,0.04413,0.89855,1,0.38307,0.000627331,0.000627331,0.000627331
36,50.6567,0.04759,0.92754,1,0.31372,0.000603752,0.000603752,0.000603752
37,51.9846,0.04925,0.91304,1,0.3354,0.000580174,0.000580174,0.000580174
38,53.3333,0.0516,0.89855,1,0.31749,0.000556595,0.000556595,0.000556595
39,54.6129,0.03171,0.89855,1,0.39825,0.000533017,0.000533017,0.000533017
40,55.9957,0.03246,0.89855,1,0.36115,0.000509438,0.000509438,0.000509438
41,57.371,0.03891,0.89855,1,0.37798,0.00048586,0.00048586,0.00048586
42,58.7113,0.05404,0.89855,1,0.48665,0.000462281,0.000462281,0.000462281
43,60.0274,0.04888,0.89855,1,0.3669,0.000438703,0.000438703,0.000438703
44,61.3208,0.03189,0.89855,1,0.38322,0.000415124,0.000415124,0.000415124
45,62.6497,0.05709,0.89855,1,0.76761,0.000391546,0.000391546,0.000391546
46,63.9829,0.03949,0.89855,1,0.38885,0.000367967,0.000367967,0.000367967
47,65.4371,0.04802,0.92754,1,0.52264,0.000344389,0.000344389,0.000344389
48,66.9892,0.03214,0.92754,1,0.697,0.00032081,0.00032081,0.00032081
49,68.5582,0.05196,0.92754,1,0.35589,0.000297232,0.000297232,0.000297232
50,70.1053,0.03144,0.92754,1,0.35119,0.000273654,0.000273654,0.000273654
51,102.686,0.03943,0.92754,1,0.6963,0.000250075,0.000250075,0.000250075
52,104.17,0.05611,0.92754,1,0.37435,0.000226497,0.000226497,0.000226497
53,105.638,0.02706,0.89855,1,0.57839,0.000202918,0.000202918,0.000202918
54,107.075,0.03017,0.89855,1,0.36205,0.00017934,0.00017934,0.00017934
55,108.527,0.02904,0.89855,1,0.82107,0.000155761,0.000155761,0.000155761
56,109.959,0.03765,0.91304,1,0.38761,0.000132183,0.000132183,0.000132183
57,112.9,0.03227,0.91304,1,0.3945,0.000108604,0.000108604,0.000108604
58,116.09,0.03076,0.89855,1,0.38853,8.50255e-05,8.50255e-05,8.50255e-05
59,118.215,0.02819,0.92754,1,0.38776,6.1447e-05,6.1447e-05,6.1447e-05
60,120.328,0.03202,0.89855,1,0.56569,3.78685e-05,3.78685e-05,3.78685e-05
