epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.68728,1.83655,0.55556,0.92857,1.46667,0.000298266,0.000298266,0.000298266
2,7.82639,1.35144,0.69048,0.99206,0.90277,0.000591345,0.000591345,0.000591345
3,11.4898,1.02824,0.71429,0.99206,0.71478,0.000874425,0.000874425,0.000874425
4,14.5797,0.75418,0.73016,0.99206,0.70706,0.000864004,0.000864004,0.000864004
5,17.9421,0.62731,0.7381,0.99206,0.79224,0.000849006,0.000849006,0.000849006
6,21.3705,0.51774,0.7381,0.99206,0.88211,0.000834007,0.000834007,0.000834007
7,24.4523,0.44603,0.77778,0.98413,0.84283,0.000819009,0.000819009,0.000819009
8,27.8026,0.42511,0.78571,0.98413,0.79819,0.00080401,0.00080401,0.00080401
9,31.2625,0.32149,0.78571,0.97619,0.88221,0.000789012,0.000789012,0.000789012
10,34.8887,0.27397,0.76984,0.97619,0.95468,0.000774013,0.000774013,0.000774013
11,38.3538,0.3105,0.80952,0.98413,1.11343,0.000759015,0.000759015,0.000759015
12,41.8265,0.26333,0.7619,0.98413,0.99713,0.000744016,0.000744016,0.000744016
13,45.408,0.26508,0.77778,0.98413,1.04953,0.000729018,0.000729018,0.000729018
14,48.9159,0.21499,0.74603,0.98413,1.16104,0.000714019,0.000714019,0.000714019
15,52.7664,0.25063,0.78571,0.99206,1.05463,0.000699021,0.000699021,0.000699021
16,56.5878,0.25511,0.78571,0.99206,1.0644,0.000684022,0.000684022,0.000684022
17,60.4016,0.22131,0.78571,0.99206,1.01615,0.000669024,0.000669024,0.000669024
18,64.3841,0.1937,0.76984,0.99206,1.15338,0.000654025,0.000654025,0.000654025
19,68.0268,0.19638,0.75397,0.97619,1.38441,0.000639027,0.000639027,0.000639027
20,71.8981,0.16598,0.77778,0.96825,1.45679,0.000624028,0.000624028,0.000624028
21,75.575,0.15823,0.76984,0.96825,1.35663,0.00060903,0.00060903,0.00060903
22,79.3006,0.1241,0.75397,0.96032,1.48901,0.000594031,0.000594031,0.000594031
23,82.9316,0.1259,0.79365,0.96825,1.35446,0.000579033,0.000579033,0.000579033
24,86.7056,0.14666,0.78571,0.96825,1.3447,0.000564034,0.000564034,0.000564034
25,90.2652,0.11998,0.78571,0.94444,1.5658,0.000549036,0.000549036,0.000549036
26,93.8802,0.15215,0.76984,0.96032,1.55371,0.000534037,0.000534037,0.000534037
27,97.4084,0.13666,0.80159,0.96825,1.52792,0.000519039,0.000519039,0.000519039
28,100.89,0.10651,0.76984,0.97619,1.3584,0.00050404,0.00050404,0.00050404
29,104.627,0.10086,0.80159,0.98413,1.12689,0.000489042,0.000489042,0.000489042
30,108.378,0.11065,0.79365,0.97619,1.28159,0.000474043,0.000474043,0.000474043
31,111.73,0.12443,0.78571,0.97619,1.28223,0.000459045,0.000459045,0.000459045
32,115.932,0.13254,0.80159,0.99206,1.25958,0.000444046,0.000444046,0.000444046
33,120.268,0.12135,0.79365,0.98413,1.2749,0.000429048,0.000429048,0.000429048
34,123.98,0.11503,0.78571,0.98413,1.20496,0.000414049,0.000414049,0.000414049
35,128.137,0.08993,0.80159,0.98413,1.37139,0.000399051,0.000399051,0.000399051
36,132.683,0.08484,0.80159,0.98413,1.34052,0.000384052,0.000384052,0.000384052
37,137.264,0.09017,0.80159,0.98413,1.33164,0.000369054,0.000369054,0.000369054
38,141.828,0.1145,0.79365,0.99206,1.30173,0.000354055,0.000354055,0.000354055
39,146.358,0.0952,0.80159,0.98413,1.17422,0.000339057,0.000339057,0.000339057
40,150.908,0.10129,0.81746,0.98413,1.14996,0.000324058,0.000324058,0.000324058
41,155.491,0.09894,0.80159,0.96032,1.27448,0.00030906,0.00030906,0.00030906
42,160.041,0.09292,0.76984,0.96825,1.29979,0.000294061,0.000294061,0.000294061
43,164.587,0.07933,0.78571,0.96825,1.33624,0.000279063,0.000279063,0.000279063
44,169.147,0.07258,0.75397,0.96825,1.37611,0.000264064,0.000264064,0.000264064
45,173.695,0.09782,0.77778,0.97619,1.45813,0.000249066,0.000249066,0.000249066
46,178.28,0.08951,0.78571,0.97619,1.38078,0.000234068,0.000234068,0.000234068
47,182.846,0.08205,0.78571,0.96825,1.3802,0.000219069,0.000219069,0.000219069
48,187.388,0.07668,0.78571,0.96032,1.42114,0.00020407,0.00020407,0.00020407
49,191.939,0.07915,0.77778,0.97619,1.29468,0.000189072,0.000189072,0.000189072
50,196.513,0.07606,0.77778,0.96825,1.22639,0.000174074,0.000174074,0.000174074
51,231.374,0.04912,0.79365,0.97619,1.29788,0.000159075,0.000159075,0.000159075
52,235.949,0.07599,0.77778,0.97619,1.32861,0.000144077,0.000144077,0.000144077
53,240.531,0.06233,0.78571,0.96032,1.35031,0.000129078,0.000129078,0.000129078
54,245.103,0.06592,0.76984,0.96825,1.40588,0.00011408,0.00011408,0.00011408
55,249.67,0.05227,0.77778,0.97619,1.35284,9.9081e-05,9.9081e-05,9.9081e-05
56,254.246,0.07717,0.7619,0.96825,1.37445,8.40825e-05,8.40825e-05,8.40825e-05
57,258.819,0.06852,0.76984,0.96032,1.42796,6.9084e-05,6.9084e-05,6.9084e-05
58,263.391,0.07599,0.77778,0.96032,1.47595,5.40855e-05,5.40855e-05,5.40855e-05
59,267.954,0.07172,0.74603,0.96032,1.45633,3.9087e-05,3.9087e-05,3.9087e-05
60,272.507,0.04878,0.77778,0.96032,1.45866,2.40885e-05,2.40885e-05,2.40885e-05
